program_status_id,program_status,student_id,course_id,course_grade,course_points,semester
1,Dropped,1,28,F,0,2003-1
2,Dropped,1,29,D+,4.5,2003-1
3,Dropped,1,30,B,9,2003-1
4,Graduated,4,31,C,6,2001-1
5,Graduated,4,32,F,0,2001-2
6,Graduated,4,23,C,6,2002-2
7,Graduated,4,18,A-,11.25,2003-1
8,Graduated,4,33,WP,0,2002-1
9,Graduated,4,23,C,6,2003-1
10,Graduated,4,34,C,8,2001-1
11,Graduated,4,18,C,6,2002-1
12,Graduated,4,35,B+,10.5,2001-1
13,Graduated,4,36,C+,7.5,2001-2
14,Graduated,4,37,C,6,2001-2
15,Graduated,4,32,B,9,2002-2
16,Graduated,4,20,B+,10.5,2003-2
17,Graduated,4,38,B,9,2001-1
18,Graduated,4,23,F,0,2001-2
19,Graduated,4,4,D+,4.5,2001-2
20,Graduated,4,39,C+,7.5,2002-1
21,Graduated,4,4,C,6,2002-2
22,Graduated,4,33,C,8,2003-1
23,Graduated,4,40,B,9,2003-2
24,Graduated,4,41,C+,10,2003-2
25,Terminated,89,18,B,9,2014-1
26,Terminated,89,19,F,0,2014-1
27,Terminated,89,27,WP,0,2015-1
28,Terminated,89,30,A-,11.25,2007-1
29,Terminated,89,13,C+,7.5,2012-2
30,Terminated,89,24,RE,0,2008-1
31,Terminated,89,1,B+,10.5,2009-1
32,Terminated,89,4,RE,0,2011-1
33,Terminated,89,17,C,6,2011-2
34,Terminated,89,5,C,6,2012-1
35,Terminated,89,12,A-,3.75,2012-2
36,Terminated,89,19,F,0,2013-1
37,Terminated,89,42,B+,10.5,2004-2
38,Terminated,89,43,A,4,2005-1
39,Terminated,89,44,RE,0,2008-1
40,Terminated,89,15,B,9,2009-1
41,Terminated,89,19,C,6,2015-1
42,Terminated,89,16,D,3,2015-2
43,Terminated,89,28,C,6,2004-2
44,Terminated,89,28,B+,10.5,2005-1
45,Terminated,89,37,B,9,2006-2
46,Terminated,89,45,A-,11.25,2006-2
47,Terminated,89,13,RE,0,2011-1
48,Terminated,89,18,F,0,2013-1
49,Terminated,113,36,D,3,2001-2
50,Terminated,113,15,B,9,2006-1
51,Terminated,113,29,B,9,2001-1
52,Terminated,113,1,D+,4.5,2001-2
53,Terminated,113,43,B,3,2005-1
54,Terminated,113,46,D+,4.5,2005-1
55,Terminated,113,46,B+,10.5,2005-2
56,Terminated,113,23,F,0,2006-1
57,Terminated,113,44,A,12,2006-1
58,Terminated,113,47,B,9,2006-2
59,Terminated,113,43,D+,1.5,2001-1
60,Terminated,113,24,C,6,2001-1
61,Terminated,113,28,D+,4.5,2004-1
62,Terminated,113,18,C+,7.5,2004-1
63,Terminated,113,30,C+,7.5,2004-1
64,Terminated,113,16,C+,7.5,2005-2
65,Terminated,113,37,C+,7.5,2005-2
66,Terminated,113,42,F,0,2001-1
67,Terminated,113,34,F,0,2001-1
68,Terminated,113,30,D+,4.5,2002-1
69,Terminated,113,42,C,6,2002-1
70,Terminated,113,28,B+,10.5,2005-1
71,Terminated,113,38,C+,7.5,2006-2
72,Terminated,113,48,C+,7.5,2008-2
73,Terminated,113,34,D+,6,2002-1
74,Terminated,113,36,C,6,2002-2
75,Terminated,113,37,D+,4.5,2002-2
76,Terminated,113,1,C,6,2002-2
77,Terminated,113,44,WP,0,2005-1
